Data Bencana,,,,,,,,,,,,,,,
No.,Kode Identitas Bencana,ID Kabupaten,Tanggal Kejadian,Kejadian,Lokasi,Kabupaten,Provinsi,Kronologi & Dokumentasi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak
1,1217 101 20240927 1,1217,27/09/2024,BANJIR,Kec. Simanindo Ds. Martoba,SAMOSIR,SUMATERA UTARA,Dokumentasi,● Dipicu hujan deras yang mengakibatkan longsor dari pea dolok holang-holang dusun 1 desa martoba kec. Simanindo yg merupakan titik sumber air masyarakat yang disekitarnya ada saluran sungai,0,0,0,5,,0
2,1503 101 20240926 1,1503,26/09/2024,BANJIR,Kec. Limun Ds. Suka Damai,SAROLANGUN,JAMBI,Dokumentasi,"● Dipicu tingginya curah hujan di sungai batang batang limun kec. limun, kab. sarolangun yang mengakibatkan debit air naik sehingga pada pukul 03.00 WIB air membanjiri desa Suka Damai dan air mulai membanjiri pemukiman rumah warga di desa Suka Damai.",0,0,0,0,39,0
3,6103 101 20240925 1,6103,25/09/2024,BANJIR,Kec. Tanggu Hulu Ds. Pandan Sembuat Ds. Kedakas Ds. Sosok,SANGGAU,KALIMANTAN BARAT,Dokumentasi,● Dipicu hujan lebat disertai angin dan petir juga terjadi longsor menutupi jalan menuju dusun Sanjan Kunut dan petir 1 rumah tersambar petir,0,0,0,5,110,0
4,1105 101 20240921 1,1105,21/09/2024,BANJIR,Kec. Woyla Barat Gp. Napai Gp. Blang Cot Me Gp. Blang Luah Kec. Pante Ceureumen Gp. Seumantok Kec. Arongan Lambalek Gp. Teupin Peraho Gp. Keub Gp. Pribu Gp. Ujong beusa Gp. Cot Kumbang Gp. Gunung Pulo Kec. Johan Pahlawan Gp. Pasie Leuhan Kec. Meureubo Gp. Pasie Mesjid Kec. Sungai Mas Gp. Tutut Kec. Kaway XVI Gp. Puuk ( Rumah Amblas Tergerus Air Sungai ) Kec. Bubon Gp. Ateung Teupat,ACEH BARAT,ACEH,Dokumentasi,"● Dipicu oleh hujan dengan intensitas tinggi mengakibatkan meluapnya air sungai Krueng Woyla dan Krueng Pante cermen pada hari Sabtu, 21 september 2024, Pkl. 03.00 WIB",2,0,0,1,1578,0
5,7204 101 20240921 1,7204,21/09/2024,BANJIR,Kec. Dako Pamean Ds. Galumpang Kec. Ogodeide Ds. Sambujan,TOLI TOLI,SULAWESI TENGAH,Dokumentasi,● Terjadinya air laut pasang pada pukul 19.00 Wita yang disertai gelombang tinggi menyebabkan terjadinya banjir rob hingga menggenangi pemukiman warga di Dusun Pulae Desa Galumpang,0,0,0,19,38,0
6,1274 101 20240919 1,1274,19/09/2024,BANJIR,Kec. Teluk Nibung Kel. Pematang Pasir Kel. Sei Merbau Kel. Beting Kuala Kapias Kec. Datuk Bandar Timur Kel. Pulo Simardan Kec. Tanjungbalai Utara Kel. Tanjungbalai Kota 3 Kel. Sejahtera Kel. Matahalasan Kec. Tanjungbalai Selatan Kel. Perwira Kel. Indra Sakti Kel. Pantai Burung,KOTA TANJUNG BALAI,SUMATERA UTARA,Dokumentasi,"● Pada hari Kamis, 19 September 2024 sekira Pukul 04.30 WIB sampai 19.30 WIB terjadi Banjir Rob di Kota Tanjungbalai yang mengakibatkan ketinggian air mencapai 20 cm - 60 cm. ● Pada hari Jum’at 20 September 2024 sekira Pukul 05.00 WIB terjadi kembali air pasang di Kota Tanjungbalai dengan ketinggian air mencapai 30 cm - 60 cm dan air juga mengalami surut kembali ± 3 jam. ● Kemudian sekitar Pukul 17.00 WIB sampai dengan 19.30 WIB kembali terjadi ROB serta hujan dengan intensitas tinggi yang mengakibatkan persebaran air meluas dengan debit air mengalami kenaikan 20 cm - 70 cm.",0,0,0,0,,0
7,1207 101 20240917 1,1207,17/09/2024,BANJIR,Kec. Pantai Labu Ds. Rugemuk,DELI SERDANG,SUMATERA UTARA,Dokumentasi,"● Sekitar pukul 13.30 wib Selasa 17 September 2024 Aktivitas Pasang Air Laut Disertai Cuaca Ekstrim Dan Gelombang Tinggi ± 1,5 - 2 m . ● Mengakibatkan Rumah Penduduk Terhempas Ombak, dan ada Dua Penduduk Yang Hanyut Terhempas Ombak Sejauh 2 Km dari Bibir Pantai Di Karenakan Menyelamatkan Perahu Di Temukan Oleh Warga Sekitar Dalam Keadaan Selamat.",0,0,0,0,,0
8,5302 101 20240917 1,5302,17/09/2024,BANJIR,Kec. Amanuban Selatan Ds. Bena,TIMOR TENGAH SELATAN,NUSA TENGGARA TIMUR,Dokumentasi,"● Dipicu hujan lebat yang terjadi pada Tgl 17 September 2024 , Pkl . 20.00 s/d 04.00 WITA menyebabkan kali Fatu Muti meluap dan menggenangi sejumlah pemukiman warga. Ketinggian air di wilayah terdampak rata-rata setinggi lutut orang dewasa.",0,0,0,0,57,0
9,1114 101 20240917 1,1114,17/09/2024,BANJIR,Kec. Krueng Sabee Gampong Panggong Gampong Ranto Panyang Kec. Darul Hikmah Gampong Teupin Asan Gampong Masen Gampong Babah Dua Gampong Baro Gampong Lamteungoh Gampong Ujong Rimba Gampong Gunong Cut Gampong Pantong Krueng Gampong Alue Gajah Kec. Teunom Gampong Rambong Payong Kec. Setia Bakti Gampong Lhok Bot Kec. Panga Gampong Batee Meutudong,ACEH JAYA,ACEH,Dokumentasi,"● Akibat hujan dengan intensitas tinggi disertai angin kencang yang melanda Kabupaten Aceh Jaya, telah mengakibatkan tumbangnya beberapa pohon ke badan jalan dan menutup sebagian akses transportasi dan meluapnya beberapa sungai sehingga terjadinya banjir genangan di beberapa wilayah, ketinggian air rata-rata berkisar antara 15 s.d 50 cm.",0,0,0,0,409,0
10,1207 101 20240915 1,1207,15/09/2024,BANJIR,Kec. Labuhan Deli Ds. Pematang Johar Kec. Hamparan Perak Ds. Paluh Manan,DELI SERDANG,SUMATERA UTARA,Dokumentasi,● Dipicu hujan deras selama ± 6 jam di Ds. Pematang Johar dan di Ds. Paluh Manan. sehingga menyebabkan air sungai Kera dan sungai Darma Bakti meluap ke pemukiman warga di sekitar perumahan TKBM & Disekitar pemukiman Ds. Paluh manan. Dengan ketinggian air di dalam rumah Ds. Pematang Johar ±10-50 cm dan Ds. Paluh Manan sekitar ±20-50 cm,0,0,0,0,,0
